UpazName,UpazGeoCod,EmplydMale,EmplydFeml,7PlsNASBoth,7PlsNASMale,7PlsNASFeml,LokWrkMale,LokWrkFeml,HHWorkMale,HHWrkMaFem,DntWrkMale,DntWrkFeml
Bhedarganj,30860014,28066,1238,74758,34002,40756,208,108,370,33166,5358,6244
Damudya,30860025,9203,617,27477,11786,15691,77,27,278,12438,2228,2609
Gosairhat,30860036,17994,1808,47653,21631,26022,134,78,314,20653,3189,3483
Naria,30860065,20016,1180,59982,26276,33706,214,90,523,26269,5523,6167
Shariatpur Sadar,30860069,20334,1534,54031,24247,29784,184,57,422,24043,3307,4150
Zajira,30860094,23985,902,63219,29356,33863,278,80,248,27035,4845,5846
Basail,30930009,17231,560,51028,21069,29959,156,45,628,25135,3054,4219
Bhuanpur,30930019,23965,764,64460,28846,35614,155,45,259,29810,4467,4995
Delduar,30930023,23481,1010,64240,27479,36761,164,44,359,31004,3475,4703
Dhanbari,30930025,26616,1360,66530,30576,35954,122,60,536,30136,3302,4398
Ghatail,30930028,57286,2699,149747,66791,82956,428,148,561,69710,8516,10399
Gopalpur,30930038,36185,1372,90079,41523,48556,285,66,436,41530,4617,5588
Kalihati,30930047,57378,5227,151584,67843,83741,432,124,701,67280,9332,11110
Madhupur,30930057,45305,2672,110801,52933,57868,344,144,676,47669,6608,7383
Mirzapur,30930066,40435,3329,117452,48619,68833,360,96,837,55109,6987,10299
Nagarpur,30930076,37470,1293,104539,44085,60454,265,86,560,51845,5790,7230
Sakhipur,30930085,39699,1503,111800,47964,63836,377,85,899,53562,6989,8686
Tangail Sadar,30930095,57506,4072,155373,67639,87734,328,108,859,71437,8946,12117
Bagerhat Sadar,40010008,14749,1435,40824,18788,22036,134,35,328,14721,3577,5845
Chitalmari,40010014,11014,433,30481,14164,16317,67,30,185,11897,2898,3957
Fakirhat,40010034,8915,738,24727,11210,13517,75,31,248,9404,1972,3344
Kachua,40010038,5769,282,15655,7290,8365,35,17,84,5806,1402,2260
Mollahat,40010056,11813,584,31467,15139,16328,67,41,334,12157,2925,3546
Mongla,40010058,10706,1335,27087,13348,13739,146,58,236,9441,2260,2905
Morelganj,40010060,13218,830,38578,17671,20907,374,66,782,15243,3297,4768
Rampal,40010073,10905,854,30220,13867,16353,253,54,278,11510,2431,3935
Sharankhola,40010077,8751,392,17645,10722,6923,117,25,340,4759,1514,1747
Alamdanga,40180007,51394,1803,121336,57895,63441,149,96,361,53546,5991,7996
Chuadanga Sadar,40180023,39518,2296,95351,45427,49924,237,66,244,40395,5428,7167
Damurhuda,40180031,36928,1465,88443,42970,45473,140,74,249,36463,5653,7471
Jibannagar,40180055,21716,1126,53199,25615,27584,39,37,133,21522,3727,4899
Abhaynagar,40410004,19158,3294,55203,23552,31651,73,55,148,21898,4173,6404
Bagharpara,40410009,20593,1043,55134,24771,30363,55,45,333,23679,3790,5596
Chaugachha,40410011,24472,844,61331,27785,33546,41,44,147,27315,3125,5343
Jhikargachha,40410023,28144,1488,74411,32389,42022,95,73,449,33710,3701,6751
Keshabpur,40410038,21939,1594,61867,25666,36201,84,72,249,28328,3394,6207
Jashore Sadar,40410047,51261,6798,141870,62792,79078,191,118,601,55822,10739,16340
Manirampur,40410061,40027,2034,107275,46203,61072,111,83,380,49284,5685,9671
Sharsha,40410090,34728,2437,88819,40116,48703,149,108,323,38335,4916,7823
Harinakundu,40440014,32321,777,73217,35742,37475,80,60,276,32576,3065,4062
Jhenaidah Sadar,40440019,52510,2908,133818,60496,73322,194,107,560,59740,7232,10567
Kaliganj,40440033,28041,1396,72522,32243,40279,57,43,217,32571,3928,6269
Kotchandpur,40440042,16748,662,41212,18916,22296,40,23,172,18419,1956,3192
Maheshpur,40440071,42557,1548,104212,49433,54779,138,78,335,44561,6403,8592
Shailkupa,40440080,51941,1729,126453,58837,67616,181,157,484,56731,6231,8999
Batiaghata,40470012,11655,1062,37425,16164,21261,139,51,327,14926,4043,5222
Dacope,40470017,9360,1280,32306,11975,20331,83,52,159,14189,2373,4810
Dumuria,40470030,26592,2601,76918,31608,45310,108,68,323,34138,4585,8503
Dighalia,40470040,8970,920,24773,11425,13348,88,34,116,9186,2251,3208
Koyra,40470053,14647,1311,47694,18618,29076,252,141,226,21539,3493,6085
Paikgachha,40470064,19373,2156,61462,24178,37284,92,72,226,26989,4487,8067
Phultala,40470069,5632,1099,17085,6955,10130,16,23,89,6908,1218,2100
Rupsa,40470075,11747,2594,33305,14856,18449,87,39,201,11471,2821,4345
Terokhada,40470094,12667,688,32760,15658,17102,106,40,144,13151,2741,3223
Daulatpur,40473321,5980,1305,17619,7790,9829,54,31,60,6094,1696,2399
Khalishpur,40473345,6933,2144,21729,9642,12087,70,35,48,6518,2591,3390
Khan Jahan Ali,40473348,3816,1010,11687,5062,6625,37,12,35,4018,1174,1585
Khulna Sadar,40473351,10058,4071,31660,13532,18128,84,39,113,9099,3277,4919
Sonadanga,40473385,6905,2341,21586,9143,12443,72,48,114,6795,2052,3259
Bheramara,40500015,25794,1246,62117,29954,32163,127,69,242,26486,3791,4362
Daulatpur,40500039,73499,3215,176370,83809,92561,439,252,1157,79131,8714,9963
Khoksa,40500063,18338,1113,44591,20568,24023,97,38,139,20060,1994,2812
Kumarkhali,40500071,48775,1962,117038,55406,61632,247,138,426,51486,5958,8046
Kushtia Sadar,40500079,59065,4620,146479,68009,78470,215,124,425,62037,8304,11689
Mirpur,40500094,56427,1507,127161,62251,64910,161,110,482,56295,5181,6998
Magura Sadar,40550057,40739,1818,105537,47501,58036,149,112,504,47416,6109,8690
Mohammadpur,40550066,23170,781,60535,27498,33037,95,42,409,27262,3824,4952
Shalikha,40550085,19121,612,49845,22284,27561,47,30,177,22550,2939,4369
